Life_Satisfaction,Mental_Health,Ethnic_Identity,Discrimination ,Income,Age
2.0,3.0,4.0,0.0,4.9995,23.0
5.0,4.0,3.0,0.0,70.001,28.0
0.0,5.0,4.0,0.0,70.001,47.0
7.0,5.0,2.0,0.0,54.9995,25.0
6.0,5.0,2.0,0.0,70.001,60.0
0.0,4.0,4.0,0.0,44.9995,22.0
4.0,3.0,3.0,0.0,70.001,43.0
6.0,4.0,4.0,0.0,34.9995,44.0
5.0,4.0,2.0,1.0,70.001,32.0
4.0,3.0,4.0,1.0,44.9995,40.0
6.0,3.0,0.0,0.0,44.9995,68.0
0.0,4.0,4.0,0.0,24.9995,46.0
0.0,5.0,4.0,0.0,54.9995,27.0
6.0,4.0,2.0,0.0,4.9995,36.0
4.0,2.0,4.0,0.0,4.9995,75.0
4.0,2.0,0.0,0.0,14.9995,76.0
5.0,4.0,3.0,1.0,54.9995,69.0
5.0,3.0,3.0,0.0,70.001,74.0
5.0,4.0,3.0,0.0,70.001,65.0
4.0,3.0,3.0,1.0,34.9995,55.0
4.0,2.0,3.0,0.0,4.9995,67.0
4.0,5.0,4.0,1.0,44.9995,55.0
5.0,3.0,4.0,1.0,70.001,45.0
6.0,4.0,3.0,1.0,64.9995,78.0
5.0,3.0,3.0,0.0,34.9995,24.0
3.0,4.0,2.0,0.0,4.9995,45.0
5.0,2.0,4.0,0.0,70.001,40.0
4.0,5.0,4.0,0.0,24.9995,19.0
6.0,4.0,4.0,0.0,70.001,36.0
6.0,4.0,4.0,0.0,54.9995,68.0
4.0,4.0,3.0,0.0,14.9995,76.0
6.0,2.0,3.0,0.0,4.9995,75.0
6.0,5.0,3.0,0.0,34.9995,51.0
6.0,2.0,2.0,0.0,24.9995,45.0
6.0,5.0,3.0,0.0,70.001,41.0
4.0,4.0,1.0,1.0,4.9995,25.0
6.0,5.0,3.0,0.0,70.001,49.0
5.0,5.0,3.0,1.0,24.9995,19.0
5.0,4.0,4.0,1.0,70.001,32.0
5.0,3.0,3.0,1.0,70.001,23.0
2.0,2.0,2.0,1.0,64.9995,25.0
2.0,3.0,3.0,0.0,4.9995,48.0
5.0,5.0,3.0,0.0,70.001,18.0
5.0,4.0,3.0,1.0,24.9995,18.0
3.0,3.0,3.0,0.0,4.9995,22.0
6.0,1.0,2.0,1.0,70.001,18.0
6.0,5.0,3.0,1.0,70.001,36.0
4.0,4.0,2.0,1.0,64.9995,26.0
5.0,5.0,4.0,0.0,34.9995,21.0
5.0,3.0,3.0,0.0,24.9995,20.0
